OBJECTID,Shape,id_paradero,id_parada,id_ruta,nro_parada,direccion,tipo_parada,recorrido,codigo_ruta,nombre_ruta,sistema_ruta,tipo_ruta,empresa,longitud,latitud,x_origen_nacional,y_origen_nacional
68,"(4715368.8585, 2251865.4726)",52882,90002003,90002,3.0,"CR 64C 74-49, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.57339294,6.2731075,4715368.8585,2251865.4726
69,"(4715171.593200002, 2251045.1032999977)",52760,90002006,90002,6.0,"CL 67 x CR 64C, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.57513881,6.26568206,4715171.5932,2251045.1033
70,"(4715315.805199999, 2251647.798100002)",52853,90002004,90002,4.0,"CR 64C 72-51, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.57386261,6.27113722,4715315.8052,2251647.7981
71,"(4715145.663400001, 2249399.804200001)",52741,90002009,90002,9.0,"CR 57 48-53, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.5753002,6.25080633,4715145.6634,2249399.8042
72,"(4716632.970500002, 2251122.1028000023)",53672,90002023,90002,23.0,"CR 51 68-68, Medellin",Reglamentaria,Destino-Origen,286,Circular 286,Circular 286,Circular,Combuses,-75.56193886,6.26644288,4716632.9705,2251122.1028
73,"(4715615.538300002, 2252673.363)",53055,90002001,90002,1.0,"CR 64C x CL 89, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.57120003,6.28042232,4715615.5383,2252673.363
74,"(4715705.216900002, 2252350.2040999997)",53113,90002002,90002,2.0,"CR 64A x CL 78, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.57037544,6.27750473,4715705.2169,2252350.2041
75,"(4716072.6235, 2250618.6927000005)",53336,90002020,90002,20.0,"CL 64 x CR 52, Medellin",Reglamentaria,Destino-Origen,286,Circular 286,Circular 286,Circular,Combuses,-75.5669793,6.26186693,4716072.6235,2250618.6927
76,"(4715954.451800001, 2250486.3822000027)",53268,90002019,90002,19.0,"CR 53 x CL 61A, Medellin",Reglamentaria,Destino-Origen,286,Circular 286,Circular 286,Circular,Combuses,-75.56804111,6.26066553,4715954.4518,2250486.3822
77,"(4715849.2444, 2248629.8495000005)",53223,90002012,90002,12.0,"CL 44 x CR 46, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.56890968,6.24387651,4715849.2444,2248629.8495
78,"(4715989.171600001, 2249214.7045000046)",53287,90002015,90002,15.0,"DG 50 49-106, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.56767129,6.24917019,4715989.1716,2249214.7045
79,"(4715725.268799999, 2249372.5250000004)",53136,90002016,90002,16.0,"CL 50 52-64, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.5700625,6.25058535,4715725.2688,2249372.525
80,"(4714968.6106, 2244592.727500001)",52665,90003029,90003,29.0,"CR 48 1-176, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.57668773,6.20733937,4714968.6106,2244592.7275
81,"(4714931.355600002, 2244238.554200001)",52645,90003028,90003,28.0,"CR 48 1 Sur-99, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.57700872,6.20413577,4714931.3556,2244238.5542
82,"(4712143.419600001, 2247660.9382000025)",51353,90003008,90003,8.0,"CR 81 32-63, Medellin",Reglamentaria,Origen-Destino,302,Circular izquierda 302,Circular Izquierda 302,Circular,Autobuses Poblado Laureles,-75.60234622,6.23495255,4712143.4196,2247660.9382
