id_parada,latitud,longitud
90215038,6.26324057,-75.56338077
90215031,6.24232977,-75.57064188
90215027,6.24614359,-75.57128932
90215003,6.30451226,-75.54778568
90215036,6.25761783,-75.565657
90215039,6.26450066,-75.55993238
90215018,6.26743916,-75.56221341
90215005,6.29920789,-75.5495261
90215040,6.26687213,-75.55908583
90215008,6.29457796,-75.55354365
90215028,6.24365909,-75.57130602
90215048,6.29139218,-75.55602226
90215041,6.26913458,-75.5586803
90215057,6.3022145,-75.54700616
90215034,6.25408671,-75.56711224
90215052,6.29749099,-75.55021865
90215026,6.24867373,-75.57250578
90215044,6.27739232,-75.55722746
90217001,6.30219961,-75.54376958
90217029,6.26684175,-75.5618287
90217027,6.25989651,-75.56466054
90217031,6.27329802,-75.55797199
90217026,6.25636055,-75.56611718
90217018,6.26177647,-75.56429502
90217032,6.27648711,-75.55738747
90217034,6.28593482,-75.55352287
90217024,6.25028908,-75.57047009
90217009,6.28583641,-75.55566442
90217025,6.25367903,-75.56929379
90217038,6.29509717,-75.5477995
90217014,6.26969623,-75.55873313
90217033,6.27942746,-75.55685864
90217016,6.26484001,-75.56030718
90217021,6.25425406,-75.56735087
90217028,6.2649032,-75.56270047
90217004,6.29496731,-75.547898
90217010,6.28423703,-75.55676293
90217036,6.2931927,-75.55266907
90217023,6.25215852,-75.57088038
90217005,6.29406472,-75.55044515
90217007,6.29141861,-75.55332428
90217013,6.27307557,-75.55816219
90217012,6.27618158,-75.55758906
90217008,6.28588761,-75.5536345
90217030,6.26982255,-75.55856483
90217020,6.25550774,-75.56710939
90217002,6.30138388,-75.54594673
90217003,6.29826235,-75.5472949
90217015,6.26767264,-75.55930209
90217022,6.25302886,-75.5692439
90217039,6.29815659,-75.54669081
90217006,6.29313862,-75.55278596
90217035,6.29139111,-75.55321917
90217011,6.2794107,-75.55701039
90217040,6.3011275,-75.5455617
90217019,6.25824993,-75.56576108
90217037,6.29380513,-75.55045796
90217017,6.26390074,-75.56155668
90218028,6.25702613,-75.57477995
90218018,6.26177647,-75.56429502
90218020,6.25550774,-75.56710939
90218010,6.28423703,-75.55676293
90218032,6.26684175,-75.5618287
